name	FD_D1	FD_D2	FD_D3	FD_D4	FD_D5	FD_D6	FD_D7	FD_D8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
M468T494_pos	0.385863994	0.53448972	0.627478338	0.445307943	0.39472686	0.370620059	0.856672028	0.679175284	0.141963222	0.212785536	0.782661687	0.102973003	0.582021651	0.196612037
M920T245_pos	0.140565797	0.06134101	0.046867483	0.076457093	0.048036279	0.133523722	0.0488569	0.139107307	0.055021314	0.09745793	0.077843633	0.110291935	0.072113571	0.11046017
M209T120_pos	0.124556802	0.195100733	0.124115774	0.107095917	0.110624348	0.116761785	0.10062896	0.085013096	0.119188317	0.117782155	0.143205026	0.097557281	0.122398022	0.124866237
M914T48_pos	0.138325652	0.15519715	0.008353297	0.018556991	0.049536205	0.01636404	0.053657422	0.035119251	0.164631058	0.059023001	0.009428262	0.085171877	0.00648742	0.171585926
M353T697_pos	0.774106545	1.54258214	0.841411506	0.621766319	0.668889502	0.621988414	1.52364302	0.772528898	0.626529512	0.656723272	0.68628195	0.483240442	0.753097949	0.578066281
M748T253_pos	0.27528699	0.052989472	0.152353938	0.22361691	0.308374394	0.204176335	0.164885707	0.2936477	0.205952126	0.229682076	0.447676624	0.049382629	0.207442657	0.102123879
M677T272_pos	0.134849717	0.101943131	0.100582019	0.111332574	0.119807952	0.145575619	0.150374628	0.143655185	0.049882785	0.087970414	0.093681172	0.025067695	0.122773877	0.024770967
M548T602_pos	0.192118197	0.940196004	0.384739534	0.235748618	0.359717573	0.262302255	0.735800207	0.400099257	0.060929729	0.072591823	0.142807581	0.044111751	0.541909972	0.054373798
M999T409_pos	0.017347138	0.002651573	0.007487684	0.030445101	0.012286504	0.012903524	0.009641659	0.013956336	0.003814851	0.011697519	0.013237878	0.016517818	0.022832004	0.026560062
M738T293_pos	0.617177235	0.54267728	0.413315207	0.131882725	0.124339242	0.576104719	0.170879642	0.492142701	0.3477119	0.603427492	0.332934521	0.267165895	0.422127274	0.393420618
M433T286_pos	0.024983475	0.033756094	0.009994731	0.089493672	0.085072876	0.103962674	0.060720015	0.096067279	0.039887946	0.055342014	0.022575428	0.025045909	0.015563964	0.033167599
M841T272_pos	0.148143573	0.112218039	0.112421292	0.305223589	0.319475022	0.205613657	0.344477141	0.235242566	0.072187726	0.133240947	0.274752837	0.084870819	0.286683585	0.123398868
M329T55_pos	0.257681153	0.331178101	0.320900378	0.22913213	0.252161335	0.282662286	0.203594025	0.243722331	0.229308476	0.219676231	0.245867223	0.223717719	0.246712359	0.340385697
M706T251_pos	0.053758206	0.047652471	0.380026871	0.089881302	0.076916218	0.480521932	0.301442349	0.46938462	0.019963631	0.044328626	0.091799172	0.064346214	0.190321699	0.043819237
M327T642_pos	0.143539425	0.429275455	0.211142386	0.135187454	0.139699602	0.159960232	0.120985342	0.147667694	0.160128533	0.145308143	0.151306177	0.125569097	0.16021295	0.146277781
M733T275_pos	0.11375512	0.051796682	0.093063675	0.127373527	0.205850858	0.066601648	0.154676716	0.070502073	0.050860456	0.043224445	0.077823048	0.096343724	0.055359343	0.079178512
M809T222_pos	0.030277339	0.00262697	0.136131319	0.058312566	0.054021436	0.138819437	0.049339219	0.127987626	0.042873677	0.032465049	0.031301918	0.049518289	0.106250241	0.036772377
M889T707_pos	0.062123931	0.025341434	0.152938	0.036594954	0.026680449	0.04933199	0.033935468	0.011476152	0.015608888	0.007052837	0.007295459	0.050020919	0.009374133	0.045182643
M549T264_pos	0.368367204	0.209540689	0.291838819	0.049326927	0.059461145	0.071019432	0.436539559	0.048074271	0.070593614	0.061067476	0.052325446	0.04091813	0.328293538	0.193965854
M130T249_pos	0.511229688	1.450127354	0.473422628	0.935782921	0.572216272	0.673837049	0.73217527	1.834987569	0.959978338	1.398427965	1.348455161	1.204009581	1.555451675	0.389546721
M800T317_pos	0.021891371	0.016025794	0.08750976	0.094303503	0.095814234	0.04869998	0.057278392	0.124472696	0.000859369	0.003185418	0.102275305	0.007085778	0.074268159	0.005630729
M637T254_pos	0.039746023	0.020858856	0.025879688	0.025970504	0.075697342	0.010944507	0.036722354	0.018951334	0.066566336	0.090194987	0.112231984	0.028253868	0.061204968	0.032957154
M643T766_pos	2.359235127	1.700270572	2.214163137	1.857812206	1.678807122	1.627042991	1.929014428	1.901428704	1.432664461	1.747005576	1.998764088	2.338720597	2.374421092	2.243178046
M425T43_pos	0.033453831	0.054737644	0.039624321	0.061976285	0.033272063	0.033841212	0.041542871	0.035249203	0.028895169	0.023016441	0.030754742	0.040346975	0.033943816	0.065351894
M167T130_pos	0.294011908	0.352920616	0.219926191	0.289137858	0.347667176	0.185515931	0.357863905	0.186204667	0.194520526	0.271418266	0.157167818	0.21498908	0.187820405	0.33527861
M436T302_pos	0.13716514	0.156787167	0.173530531	0.079398514	0.132584077	0.138471919	0.093987529	0.15470736	0.091186684	0.139725599	0.188431904	0.126099529	0.156087825	0.141624459
M269T512_pos	0.116085092	0.117865342	0.112091656	0.143748123	0.143554385	0.130356171	0.133295163	0.124186269	0.310367087	0.130777896	0.135079319	0.141505478	0.130869418	0.120605953
M623T301_pos	0.155489866	0.122281351	0.221594003	0.200506097	0.144840575	0.279184975	0.285871527	0.260127475	0.012387451	0.02915018	0.165719822	0.003819286	0.331991253	0.033559892
M215T58_pos	0.461920356	0.713458664	0.182589367	0.422575357	0.51684186	0.730865944	0.619713783	0.555630354	0.498802277	0.394631691	0.426222339	0.298363442	0.447011608	0.793307554
M866T438_2_pos	0.362580515	0.585188999	0.386047466	0.278250468	0.412374247	0.277694582	0.346675753	0.454691941	0.228894007	0.241946138	0.631206513	0.112733366	0.383388279	0.083903193
